1092764	1000311
1095122	1000557
6708070	1007267
10088054	1042317
1195917	1042317
1112006	1000557
1187350	1294511
1116694	1327092
6793225	1042317
1079959	1000557
6789612	1000591
1262241	1000591
6791455	1000591
6694867	1000591
10141141	1113738
1295140	1000591
1027859	1252408
2127019	1000591
2153974	1000591
1232342	1000591
6968887	1252408
1159841	6826174
1195492	1327092
7026209	1246742
2012022	1001590
1274042	1327092
1073626	668
	2002877
	6826174
2038625	1001646
1026463	1327652
2039670	1001646
6798013	1002414
1069294	1009335
2056950	1010728
1003908	1011075
6607001	1013391
2051033	1014131
2136930	1018491
2040025	1029792
2123236	1068687
1017615	668
1037679	1003105
2056553	1103336
1182866	1157715
2080828	1334990
1235280	1003468
1182267	1003468
1029279	1327810
2177612	1338247
2023293	1003468
1036318	1003468
2116355	1003468
1080440	1003468
1202545	1003681
2086086	1239865
1024104	1239865
1232028	1003681
6771152	1003681
1264719	1003681
2050072	606
1043270	1007064
6645318	2092231
10398083	1250233
10363575	1854
10063743	1018880
9920551	207
10159017	113
1276298	1338247
9990266	6785079
2124635	2034728
1094739	1239865
2138437	1338247
1194484	1003681
6772396	1004077
10243262	1001646
10290866	1001646
10217227	1001646
6940672	1235094
10391082	6603047
10041642	1235094
10221131	1001646
10080909	1235094
10289466	1001646
1114033	1348424
1087440	2002877
1041365	1256628
2057052	2002877
1132169	2009963
1246477	2012482
10155945	10170002
2128606	1259472
1051303	1259472
2085833	179
1284626	2012482
6997121	2038842
1335235	2111905
1012331	1259472
6703911	1259472
2087787	1000313
